date,BTC,ETH,XRP,BNB,SOL,ADA,MATIC,SAND,MANA,ALGO
2022-05-20,41483.76000000,2784.92000000,0.58340000,429.40000000,70.40000000,0.73270000,0.90100000,1.81610000,1.06720000,0.43350000
2022-05-21,41797.95000000,2805.18000000,0.58850000,443.50000000,71.47000000,0.75020000,0.92000000,1.88390000,1.09360000,0.43500000
2022-05-22,42870.07000000,2890.09000000,0.59790000,452.10000000,74.37000000,0.76680000,0.95700000,1.95340000,1.10320000,0.44270000
2022-05-23,41041.67000000,2783.31000000,0.57040000,446.70000000,69.42000000,0.72290000,0.90400000,1.82530000,1.03180000,0.41710000
2022-05-24,41758.23000000,2787.66000000,0.57550000,462.20000000,70.07000000,0.73510000,0.93200000,1.84530000,1.04080000,0.41910000
2022-05-25,41614.69000000,2736.95000000,0.57210000,458.90000000,67.58000000,0.72330000,0.91000000,1.95680000,1.05590000,0.40570000
2022-05-26,41104.95000000,2522.36000000,0.55340000,426.30000000,61.15000000,0.67400000,0.84200000,1.91230000,0.98830000,0.37940000
2022-05-27,39968.24000000,2410.02000000,0.53270000,421.00000000,57.37000000,0.63790000,0.80400000,1.80570000,0.93060000,0.36060000
2022-05-28,40609.29000000,2507.57000000,0.54110000,430.50000000,62.16000000,0.65060000,0.82200000,1.81660000,0.95570000,0.36740000
2022-05-29,41139.43000000,2531.74000000,0.54210000,426.80000000,62.62000000,0.66980000,0.83700000,1.82920000,0.97360000,0.37880000
2022-05-30,44108.49000000,2775.80000000,0.58150000,447.00000000,65.62000000,0.79220000,0.91300000,1.99000000,1.08520000,0.42010000
2022-05-31,44189.38000000,2758.17000000,0.58540000,446.40000000,65.06000000,0.91810000,0.93400000,2.02190000,1.08560000,0.41470000
